# epoch value error jitter offset subset exptime 
  2454301.591515 -2201.531345     0.948335 0 0 -1   300.000500 
  2454301.595335 -2197.209193     0.947152 0 0 -1   299.999100 
  2454301.599166 -2189.195962     0.951648 0 0 -1   299.999200 
  2454301.602997 -2187.235110     0.930389 0 0 -1   300.001100 
  2454301.606839 -2191.691073     0.985858 0 0 -1   300.000200 
  2454301.610670 -2198.882479     0.913315 0 0 -1   300.000400 
  2454301.614501 -2207.361156     0.902672 0 0 -1   299.998300 
  2454301.618333 -2218.243140     0.877722 0 0 -1   300.000100 
  2454301.622152 -2227.757793     0.864652 0 0 -1   300.000200 
  2454301.625983 -2238.657906     1.038810 0 0 -1   299.998500 
  2454301.629826 -2238.766104     1.321989 0 0 -1   299.999900 
  2454301.633657 -2260.281671     0.783866 0 0 -1   299.999400 
  2454301.637488 -2268.065989     0.803592 0 0 -1   299.997900 
  2454301.641319 -2276.401024     0.794532 0 0 -1   299.999700 
  2454301.645150 -2278.157672     0.771765 0 0 -1   300.000200 
  2454301.648981 -2274.498072     0.765970 0 0 -1   300.001000 
  2454301.652812 -2265.443337     0.762333 0 0 -1   300.000000 
  2454301.656643 -2254.934245     0.793859 0 0 -1   299.999400 
  2454301.660474 -2254.347782     0.781684 0 0 -1   300.000700 
  2454301.664305 -2255.767353     0.790757 0 0 -1   300.000100 
  2454301.668137 -2257.336833     0.838051 0 0 -1   299.999800 
  2454301.671968 -2259.911800     0.828328 0 0 -1   300.000200 
  2454301.675799 -2260.525900     0.799425 0 0 -1   299.999600 
  2454301.689618 -2268.156435     0.804565 0 0 -1   300.000400 
  2454301.693449 -2270.368736     0.729721 0 0 -1   300.000600 
  2454301.697280 -2271.623281     0.752715 0 0 -1   299.999600 
  2454301.701112 -2275.053481     0.791332 0 0 -1   299.999800 
  2454301.704954 -2277.692126     0.793888 0 0 -1   299.997800 
  2454301.708785 -2279.947827     0.791989 0 0 -1   299.999900 
  2454301.712616 -2282.273819     0.777763 0 0 -1   300.000500 
  2454301.716447 -2283.069431     0.792554 0 0 -1   300.000100 
  2454301.720278 -2286.969102     0.936636 0 0 -1   300.000400 
  2454301.724110 -2287.718783     0.988470 0 0 -1   299.997700 
  2454301.727941 -2288.877861     0.797979 0 0 -1   299.998300 
  2454301.731772 -2291.627809     0.769363 0 0 -1   299.999700 
  2454301.735603 -2293.801400     0.774067 0 0 -1   299.999100 
  2454301.739434 -2294.361545     0.770934 0 0 -1   299.999800 
  2454301.743265 -2297.544795     0.788928 0 0 -1   299.998300 
  2454301.747096 -2299.488403     0.775454 0 0 -1   299.999900 
